MSE,Chi2pvalue,n,N,seed
0.0477599985211003,,5,5,42
0.0454234170553446,,5,5,67
0.0125181846140633,,5,5,77
0.059612952172782,,5,5,69
0.0377044715990784,,5,5,13
0.0147992391577971,,5,10,42
0.009612952172782,,5,10,67
0.0045851887117711,,5,10,77
0.0148972776605449,,5,10,69
0.0119920452192636,,5,10,13
0.0260323379925918,,5,15,42
0.0013417145011204,,5,15,67
0.0014462950506266,,5,15,77
0.002329736088718,,5,15,69
0.0019397549445105,,5,15,13
0.002455283632184,,5,20,42
0.0008956421885303,,5,20,67
0.0017428572523691,,5,20,77
0.0032886169655173,,5,20,69
0.0035958109040509,,5,20,13
0.0055188342405478,,5,25,42
0.0032044544189582,,5,25,67
0.0035613321343097,,5,25,77
0.0063482435102114,,5,25,69
0.003497922724708,,5,25,13
0.0063313582142868,,5,30,42
0.0095421529240217,,5,30,67
0.0048509785326353,,5,30,77
0.0020628444680239,,5,30,69
0.00127091525236,,5,30,13
0.0018356465949314,,5,35,42
0.0025285961081168,,5,35,67
0.0033613187120127,,5,35,77
0.0021815901131039,,5,35,69
0.0084568437106889,,5,35,13
0.0014205578307701,,5,40,42
0.001272677974196,,5,40,67
0.0020757845691497,,5,40,77
0.0059352730695314,,5,40,69
0.0004324037756099,,5,40,13
0.0007872467256182,,5,45,42
0.0007531210756694,,5,45,67
0.0007526313868561,,5,45,77
0.0029616573376502,,5,45,69
0.0010478462661065,,5,45,13
0.0005962940961755,,5,50,42
0.0006243995505489,,5,50,67
0.0020152476079192,,5,50,77
0.0028335514931785,,5,50,69
0.0013779902109162,,5,50,13
0.0010917135307992,,5,60,42
0.0014253280566668,,5,60,67
0.0007981469024785,,5,60,77
0.0017856175901611,,5,60,69
0.0005200936747432,,5,60,13
0.0009036098451139,,5,70,42
0.0002702238869609,,5,70,67
0.0013354818049754,,5,70,77
0.0103611629347702,,5,70,69
0.00045799800407,,5,70,13
0.001437100478133,,5,80,42
0.0005872244974367,,5,80,67
0.0015555709982207,,5,80,77
0.0023170055577202,,5,80,69
0.0008037303347071,,5,80,13
0.0022751427095088,,5,90,42
0.0030398504664463,,5,90,67
0.0021635584639839,,5,90,77
0.0028865018465303,,5,90,69
0.0011168933103257,,5,90,13
0.0024876379634693,,5,100,42
0.0007397560930258,,5,100,67
0.0016618130452736,,5,100,77
0.0007257033658391,,5,100,69
0.0003917181248607,,5,100,13
0.0005984732364945,,5,150,42
0.0017210263867941,,5,150,67
0.0008142697385165,,5,150,77
0.0026261440857711,,5,150,69
0.000556861376658,,5,150,13
0.0010256253169783,,5,200,42
0.0001911442660764,,5,200,67
0.0003767655850671,,5,200,77
0.0003643489358927,,5,200,69
0.0004547866816802,,5,200,13
0.0006937598783655,,5,250,42
0.0004043210906588,,5,250,67
0.0001842147238211,,5,250,77
0.0002056923921573,,5,250,69
0.0001729185531052,,5,250,13
0.0010603477778133,,5,300,42
0.0003801173186613,,5,300,67
0.0010875277834863,,5,300,77
0.0004135596834623,,5,300,69
0.0004711834389669,,5,300,13
0.0002848229258688,,5,350,42
0.0001530223004196,,5,350,67
0.0011964937994032,,5,350,77
0.0001356411765015,,5,350,69
0.0001818196682597,,5,350,13
0.0004290973936523,,5,400,42
0.0003903689762405,,5,400,67
